Time,Queue Size
0.004,2
0.00421892,2
0.00705776,2
0.0120474,2
0.02,2
0.04,2
0.06,2
0.08,2
0.1,2
0.12,2
0.14,2
0.16,2
0.18,2
0.2,2
0.22,2
0.24,2
0.26,2
0.28,2
0.3,2
0.32,2
0.34,2
0.36,2
0.38,2
0.4,2
0.42,2
0.44,2
0.46,2
0.48,2
0.5,2
0.52,2
0.54,2
0.56,2
0.58,2
0.6,2
0.62,2
0.64,2
0.66,2
0.68,2
0.7,2
0.72,2
0.74,2
0.76,2
0.78,2
0.8,2
0.82,2
0.84,2
0.86,2
0.88,2
0.9,2
0.92,2
0.94,2
0.96,2
0.98,2
1,2
1.02,2
1.04,2
1.06,2
1.08,2
1.1,2
1.12,2
1.14,2
1.16,2
1.18,2
1.2,2
1.22,2
1.24,2
1.26,2
1.28,2
1.3,2
1.32,2
1.34,2
1.36,2
1.38,2
1.4,2
1.42,2
1.44,2
1.46,2
1.48,2
1.5,2
1.52,2
1.54,2
1.56,2
1.58,2
1.6,2
1.62,2
1.64,2
1.66,2
1.68,2
1.7,2
1.72,2
1.74,2
1.76,2
1.78,2
1.8,2
1.82,2
1.84,2
1.86,2
1.88,2
1.9,2
1.92,2
1.94,2
1.96,2
1.98,2
2,2
2.02,2
2.04,2
2.06,2
2.08,2
2.1,2
2.12,2
2.14,2
2.16,2
2.18,2
2.2,2
2.22,2
2.24,2
2.26,2
2.28,2
2.3,2
2.32,2
2.34,2
2.36,2
2.38,2
2.4,2
2.42,2
2.44,2
2.46,2
2.48,2
2.5,2
2.52,2
2.54,2
2.56,2
2.58,2
2.6,2
2.62,2
2.64,2
2.66,2
2.68,2
2.7,2
2.72,2
2.74,2
2.76,2
2.78,2
2.8,2
2.82,2
2.84,2
2.86,2
2.88,2
2.9,2
2.92,2
2.94,2
2.96,2
2.98,2
3,2
3.02,2
3.04,2
3.06,2
3.08,2
3.1,2
3.12,2
3.14,2
3.16,2
3.18,2
3.2,2
3.22,2
3.24,2
3.26,2
3.28,2
3.3,2
3.32,2
3.34,2
3.36,2
3.38,2
3.4,2
3.42,2
3.44,2
3.46,2
3.48,2
3.5,2
3.52,2
3.54,2
3.56,2
3.58,2
3.6,2
3.62,2
3.64,2
3.66,2
3.68,2
3.7,2
3.72,2
3.74,2
3.76,2
3.78,2
3.8,2
3.82,2
3.84,2
3.86,2
3.88,2
3.9,2
3.92,2
3.94,2
3.96,2
3.98,2
4,2
4.02,2
4.04,2
4.06,2
4.08,2
4.1,2
4.12,2
4.14,2
4.16,2
4.18,2
4.2,2
4.22,2
4.24,2
4.26,2
4.28,2
4.3,2
4.32,2
4.34,2
4.36,2
4.38,2
4.4,2
4.42,2
4.44,2
4.46,2
4.48,2
4.5,2
4.52,2
4.54,2
4.56,2
4.58,2
4.6,2
4.62,2
4.64,2
4.66,2
4.68,2
4.7,2
4.72,2
4.74,2
4.76,2
4.78,2
4.8,2
4.82,2
4.84,2
4.86,2
4.88,2
4.9,2
4.92,2
4.94,2
4.96,2
4.98,2
